Property,Time,Value
LeftHandT.z,0.51666670,-0.05459328
LeftHandT.z,1.01666700,-0.05480604
LeftHandT.z,1.26666700,-0.05556032
LeftHandT.z,1.51666700,-0.05687049
LeftHandT.z,1.91666700,-0.05791888
LeftHandT.z,2.18333300,-0.05823299
LeftHandT.z,3.00000000,-0.05682401
LeftHandT.z,3.38333300,-0.05531901
LeftHandT.z,3.80000000,-0.05385173
LeftHandT.z,4.36666700,-0.05289638
LeftHandT.z,4.58333300,-0.05326771
LeftHandT.z,4.83333300,-0.05428134
LeftHandT.z,5.25000000,-0.05617638
LeftHandT.z,5.51666700,-0.05786975
LeftHandT.z,5.91666700,-0.05895031
LeftHandT.z,6.55000000,-0.05810731
LeftHandT.z,6.80000000,-0.05778468
LeftHandT.z,7.16666700,-0.05765318
LeftHandT.z,7.50000000,-0.05655495
LeftHandT.z,7.85000000,-0.05559409
LeftHandT.z,8.30000000,-0.05488425
LeftHandT.z,8.33333400,-0.05488729
LeftHandQ.x,0.00000000,-0.00882534
LeftHandQ.x,0.15000000,-0.00967350
LeftHandQ.x,0.28333340,-0.01096194
LeftHandQ.x,0.45000000,-0.01109405
LeftHandQ.x,0.56666670,-0.01169818
LeftHandQ.x,0.66666670,-0.01221225
LeftHandQ.x,0.80000010,-0.01379146
LeftHandQ.x,1.10000000,-0.01399025
LeftHandQ.x,1.21666700,-0.01437364
LeftHandQ.x,1.31666700,-0.01484201
LeftHandQ.x,1.41666700,-0.01624159
LeftHandQ.x,1.56666700,-0.01648352
LeftHandQ.x,1.66666700,-0.01677716
LeftHandQ.x,1.78333300,-0.01838411
LeftHandQ.x,2.00000000,-0.01754950
LeftHandQ.x,2.23333300,-0.01587279
LeftHandQ.x,2.41666700,-0.01447819
LeftHandQ.x,2.60000000,-0.01239953
LeftHandQ.x,2.75000000,-0.01187022
LeftHandQ.x,2.88333300,-0.01119458
LeftHandQ.x,3.06666700,-0.01066844
LeftHandQ.x,3.20000000,-0.01023582
LeftHandQ.x,3.30000000,-0.01022466
LeftHandQ.x,3.40000000,-0.01041165
LeftHandQ.x,3.50000000,-0.01003872
LeftHandQ.x,3.61666700,-0.00913029
LeftHandQ.x,3.73333400,-0.00883891
LeftHandQ.x,3.90000000,-0.00838769
LeftHandQ.x,4.00000000,-0.00809517
LeftHandQ.x,4.15000000,-0.00858457
LeftHandQ.x,4.30000000,-0.00837215
LeftHandQ.x,4.48333400,-0.00950026
LeftHandQ.x,4.61666700,-0.00987983
LeftHandQ.x,4.73333400,-0.01088747
LeftHandQ.x,4.95000000,-0.01252219
LeftHandQ.x,5.10000000,-0.01365847
LeftHandQ.x,5.21666700,-0.01408039
LeftHandQ.x,5.31666700,-0.01454746
LeftHandQ.x,5.41666700,-0.01534077
LeftHandQ.x,5.53333400,-0.01507000
LeftHandQ.x,5.73333400,-0.01550815
LeftHandQ.x,5.95000000,-0.01350621
LeftHandQ.x,6.10000000,-0.01277516
LeftHandQ.x,6.33333300,-0.01220359
LeftHandQ.x,6.46666700,-0.01141405
LeftHandQ.x,6.61666700,-0.01110519
LeftHandQ.x,6.71666700,-0.01112405
LeftHandQ.x,6.83333300,-0.01073066
LeftHandQ.x,6.98333400,-0.01198095
LeftHandQ.x,7.08333300,-0.01265153
