Property,Time,Value
Chest Left-Right,0.18333330,-0.01391051
Chest Left-Right,0.20000000,-0.01567402
Chest Left-Right,0.21666670,-0.01321072
Chest Left-Right,0.25000000,-0.00285782
Chest Left-Right,0.26666670,0.00307591
Chest Left-Right,0.28333340,0.00819802
Chest Left-Right,0.30000000,0.01178446
Chest Left-Right,0.31666670,0.01253688
Chest Left-Right,0.33333330,0.01116581
Chest Left-Right,0.36666670,0.00288255
Chest Left-Right,0.38333340,-0.00220158
Chest Left-Right,0.40000000,-0.00709492
Chest Left-Right,0.43333340,-0.01385664
Chest Left-Right,0.48333330,-0.01263294
Chest Left-Right,0.50000000,-0.00954806
Chest Left-Right,0.51666670,-0.00506472
Chest Left-Right,0.53333340,-0.00000017
Chest Twist Left-Right,0.00000000,-0.00000013
Chest Twist Left-Right,0.01666667,0.00262724
Chest Twist Left-Right,0.06666667,0.00769814
Chest Twist Left-Right,0.08333334,0.00754393
Chest Twist Left-Right,0.10000000,0.00636824
Chest Twist Left-Right,0.11666670,0.00393339
Chest Twist Left-Right,0.13333330,0.00096605
Chest Twist Left-Right,0.15000000,-0.00199655
Chest Twist Left-Right,0.16666670,-0.00465688
Chest Twist Left-Right,0.20000000,-0.00771231
Chest Twist Left-Right,0.23333330,-0.00889363
Chest Twist Left-Right,0.26666670,-0.00691328
Chest Twist Left-Right,0.30000000,-0.00306572
Chest Twist Left-Right,0.31666670,-0.00143453
Chest Twist Left-Right,0.33333330,-0.00009823
Chest Twist Left-Right,0.35000000,0.00082308
Chest Twist Left-Right,0.36666670,0.00141620
Chest Twist Left-Right,0.40000000,0.00176246
Chest Twist Left-Right,0.41666670,0.00117109
Chest Twist Left-Right,0.43333340,0.00019014
Chest Twist Left-Right,0.45000000,-0.00124090
Chest Twist Left-Right,0.46666670,-0.00256896
Chest Twist Left-Right,0.48333330,-0.00331708
Chest Twist Left-Right,0.50000000,-0.00330669
Chest Twist Left-Right,0.51666670,-0.00190772
Chest Twist Left-Right,0.53333340,-0.00000013
UpperChest Front-Back,0.00000000,-0.00000026
UpperChest Front-Back,0.01666667,-0.00133175
UpperChest Front-Back,0.03333334,-0.00239888
UpperChest Front-Back,0.05000000,-0.00282801
UpperChest Front-Back,0.06666667,-0.00265659
UpperChest Front-Back,0.08333334,-0.00287357
UpperChest Front-Back,0.10000000,-0.00026408
UpperChest Front-Back,0.11666670,0.00950657
UpperChest Front-Back,0.15000000,0.03550080
UpperChest Front-Back,0.16666670,0.04698715
UpperChest Front-Back,0.23333330,0.04526024
UpperChest Front-Back,0.28333340,0.02066064
UpperChest Front-Back,0.30000000,0.01363343
UpperChest Front-Back,0.31666670,0.00930219
UpperChest Front-Back,0.33333330,0.00725266
UpperChest Front-Back,0.35000000,0.00780646
UpperChest Front-Back,0.36666670,0.01018393
UpperChest Front-Back,0.40000000,0.01841974
UpperChest Front-Back,0.41666670,0.02075924
UpperChest Front-Back,0.43333340,0.02115257
UpperChest Front-Back,0.46666670,0.01381484
UpperChest Front-Back,0.48333330,0.01023554
UpperChest Front-Back,0.53333340,-0.00000026
UpperChest Left-Right,0.00000000,-0.00000120
UpperChest Left-Right,0.01666667,0.00988386
UpperChest Left-Right,0.03333334,0.01837804
UpperChest Left-Right,0.05000000,0.02382361
